d,r,n,x_0,alpha_0,y_0,beta_0,l,dc
100.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,20.4,19.343037440569834
101.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,20.604,19.343037440569834
102.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,20.808,19.343037440569834
103.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,21.012,19.343037440569834
104.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,21.216,19.343037440569834
105.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,21.42,19.343037440569834
106.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,21.624,19.343037440569834
107.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,21.828,19.343037440569834
108.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,22.032,19.343037440569834
109.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,22.236,19.343037440569834
110.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,22.44,19.343037440569834
111.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,22.644,19.343037440569834
112.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,22.848,19.343037440569834
113.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,23.052,19.343037440569834
114.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,23.256,19.343037440569834
115.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,23.46,19.343037440569834
116.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,23.664,19.343037440569834
117.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,23.868,19.343037440569834
118.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,24.072,19.343037440569834
119.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,24.276,19.343037440569834
120.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,24.48,19.343037440569834
121.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,24.684,19.343037440569834
122.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,24.888,19.343037440569834
123.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,25.092,19.343037440569834
124.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,25.296,19.343037440569834
125.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,25.5,19.343037440569834
126.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,25.704,19.343037440569834
127.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,25.908,19.343037440569834
128.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,26.112,19.343037440569834
129.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,26.316,19.343037440569834
130.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,26.52,19.343037440569834
131.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,26.724,19.343037440569834
132.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,26.928,19.343037440569834
133.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,27.132,19.343037440569834
134.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,27.336,19.343037440569834
135.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,27.54,19.343037440569834
136.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,27.744,19.343037440569834
137.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,27.948,19.343037440569834
138.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,28.152,19.343037440569834
139.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,28.356,19.343037440569834
140.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,28.56,19.343037440569834
141.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,28.764,19.343037440569834
142.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,28.968,19.343037440569834
143.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,29.172,19.343037440569834
144.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,29.376,19.343037440569834
145.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,29.58,19.343037440569834
146.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,29.784,19.343037440569834
147.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,29.988,19.343037440569834
148.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,30.192,19.343037440569834
149.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,30.396,19.343037440569834
150.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,30.6,19.343037440569834
151.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,30.804,19.343037440569834
152.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,31.008,19.343037440569834
153.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,31.212,19.343037440569834
154.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,31.416,19.343037440569834
155.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,31.62,19.343037440569834
156.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,31.824,19.343037440569834
157.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,32.028,19.343037440569834
158.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,32.232,19.343037440569834
159.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,32.436,19.343037440569834
160.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,32.64,19.343037440569834
161.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,32.844,19.343037440569834
162.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,33.048,19.343037440569834
163.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,33.252,19.343037440569834
164.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,33.456,19.343037440569834
165.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,33.66,19.343037440569834
166.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,33.864,19.343037440569834
167.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,34.068,19.343037440569834
168.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,34.272,19.343037440569834
169.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,34.476,19.343037440569834
170.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,34.68,19.343037440569834
171.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,34.884,19.343037440569834
172.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,35.088,19.343037440569834
173.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,35.292,19.343037440569834
174.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,35.496,19.343037440569834
175.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,35.7,19.343037440569834
176.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,35.904,19.343037440569834
177.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,36.108,19.343037440569834
178.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,36.312,19.343037440569834
179.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,36.516,19.343037440569834
180.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,36.72,19.343037440569834
181.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,36.924,19.343037440569834
182.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,37.128,19.343037440569834
183.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,37.332,19.343037440569834
184.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,37.536,19.343037440569834
185.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,37.74,19.343037440569834
186.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,37.944,19.343037440569834
187.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,38.148,19.343037440569834
188.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,38.352,19.343037440569834
189.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,38.556,19.343037440569834
190.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,38.76,19.343037440569834
191.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,38.964,19.343037440569834
192.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,39.168,19.343037440569834
193.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,39.372,19.343037440569834
194.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,39.576,19.343037440569834
195.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,39.78,19.343037440569834
196.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,39.984,19.343037440569834
197.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,40.188,19.343037440569834
198.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,40.392,19.343037440569834
199.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,40.596,19.343037440569834
200.0,200.0,203.0,20.0,-0.10471975511965978,0.0,-0.10471975511965978,40.8,19.343037440569834
